decision_id,timestamp_jst,symbol,model_name,model_version,market_regime,suggested_side,confidence,risk_level,entry_permission,signal_reason,risk_reason,rsi,ma_short,ma_long,final_decision
1b7f165d-b0bd-4fca-8a62-762d7e988da0,2026-06-01 11:55:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,short,0.65,medium,True,短期MAが長期MAを下回り、RSIが許容範囲,取引許可,32.908396334536064,159.9973070193625,159.99952616570803,entry_candidate
d73d31dd-a6df-4c8c-9f35-4911d630e3e0,2026-06-01 12:00:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,short,0.65,medium,True,短期MAが長期MAを下回り、RSIが許容範囲,取引許可,33.83657146424383,159.99723868050583,159.99943364582884,entry_candidate
ec87130a-6fbe-4ac1-afd0-26fc9bdc9bef,2026-06-01 12:05:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,short,0.65,medium,True,短期MAが長期MAを下回り、RSIが許容範囲,取引許可,32.15303246908071,159.9970668120135,159.99931076918588,entry_candidate
7d915346-50c5-43ed-856b-7e4fa7833140,2026-06-01 12:10:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,none,0.2,low,False,条件未達,取引許可,29.9682185762244,159.99688608389758,159.99915496129984,wait
e87350c0-0a03-410b-9d4d-f9a981a2ecdb,2026-06-01 12:15:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,short,0.65,medium,True,短期MAが長期MAを下回り、RSIが許容範囲,取引許可,30.48611803616842,159.99669641394252,159.99897705060346,entry_candidate
7c231be8-fbcd-4c84-a915-b15e269e3fb5,2026-06-01 12:20:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,short,0.65,medium,True,短期MAが長期MAを下回り、RSIが許容範囲,取引許可,38.231720370043476,159.99657369925097,159.99881535023965,entry_candidate
53b4f5ae-73d2-4f3c-8d79-40c6883db8df,2026-06-01 12:25:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,short,0.65,medium,True,短期MAが長期MAを下回り、RSIが許容範囲,取引許可,37.08822912642647,159.99647413766095,159.9986604082965,entry_candidate
1f88df7a-03e2-4f93-aef4-b3995d02c29b,2026-06-01 12:30:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,short,0.65,medium,True,短期MAが長期MAを下回り、RSIが許容範囲,取引許可,38.792820421436716,159.99639887898743,159.99847721866834,entry_candidate
f5815174-f549-4d44-9e37-a98360fb8815,2026-06-01 12:35:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,short,0.65,medium,True,短期MAが長期MAを下回り、RSIが許容範囲,取引許可,38.758258140683694,159.99621595121994,159.9982762200665,entry_candidate
85b41656-3612-4a4a-8d24-d9c59ac0ed29,2026-06-01 12:40:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,short,0.65,medium,True,短期MAが長期MAを下回り、RSIが許容範囲,取引許可,35.78727173898393,159.99595977221415,159.99805840400452,entry_candidate
1c7d207f-e947-4993-b10d-5dd4f374de95,2026-06-01 12:45:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,none,0.2,low,False,条件未達,取引許可,21.655310482754416,159.9957204865444,159.9978195478717,wait
0b2e79a3-46fc-4f0e-b50e-62dce641f52b,2026-06-01 12:50:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,none,0.2,low,False,条件未達,取引許可,20.734736864070342,159.99541704169047,159.99758073805424,wait
00fb8a61-2add-4bf5-8692-6706256ac1e0,2026-06-01 12:55:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,short,0.65,medium,True,短期MAが長期MAを下回り、RSIが許容範囲,取引許可,30.663683467633675,159.99522749513037,159.99736730910314,entry_candidate
7dbd46b1-4d8a-4238-953a-21373ebc9da1,2026-06-01 13:00:00+09:00,USDJPY,rule_based_ai_stub,v0.1,downtrend,none,0.2,low,False,条件未達,取引許可,27.42947311035364,159.99504468630496,159.99715557441894,wait
